event_id,snapshot_date,min_price,max_price,currency
rZ7HnEZ1AfAbON,2025-11-03 00:00:00,199.0,199.0,USD
G5dVZbbwUsOXz,2025-11-03 00:00:00,,,
ZFwVzcymWZ17keas,2025-11-03 00:00:00,,,
rZ7HnEZ1Af_6QK,2025-11-03 00:00:00,49.51,49.51,USD
rZ7HnEZ1AfbKPK,2025-11-03 00:00:00,33.95,33.95,USD
G5vVZbckHyK5e,2025-11-03 00:00:00,,,
rZ7HnEZ1AK87bK,2025-11-03 00:00:00,23.0,23.0,USD
rZ7HnEZ1Af_k8K,2025-11-03 00:00:00,,,
rZ7HnEZ1AKQkuV,2025-11-03 00:00:00,25.18,25.18,USD
rZ7HnEZ1AK0UZ0,2025-11-03 00:00:00,30.31,35.46,CAD
rZ7HnEZ1Af4y1d,2025-11-03 00:00:00,21.78,122.99,USD
rZ7HnEZ1Af4I7K,2025-11-03 00:00:00,0.0,0.0,USD
rZ7HnEZ1Aff98S,2025-11-03 00:00:00,15.58,21.75,CAD
rZ7HnEZ1Afb78K,2025-11-03 00:00:00,18.7,30.25,CAD
rZ7HnEZ1Af_FAS,2025-11-03 00:00:00,24.94,24.94,USD
ZFwVzcymWZ17k7Af,2025-11-03 00:00:00,,,
rZ7HnEZ1Af4F4S,2025-11-03 00:00:00,0.0,0.0,USD
rZ7HnEZ1AKrkAf,2025-11-03 00:00:00,22.85,26.85,USD
G5dVZbwXknoKZ,2025-11-03 00:00:00,,,
17AZvxG6C37Vxhv,2025-11-03 00:00:00,,,
1AvjZbsGkz5-MWf,2025-11-03 00:00:00,,,
LvZ18Q1rYQncUCOZvSdYl,2025-11-03 00:00:00,,,
rZ7HnEZ1AKrkF7,2025-11-03 00:00:00,22.85,26.85,USD
rZ7HnEZ1AfbN3d,2025-11-03 00:00:00,18.48,97.0,USD
rZ7HnEZ1AKr640,2025-11-03 00:00:00,26.85,30.85,USD
rZ7HnEZ1Afbw7K,2025-11-03 00:00:00,0.0,0.0,USD
rZ7HnEZ1AKr64V,2025-11-03 00:00:00,26.85,30.85,USD
rZ7HnEZ1AfvOPN,2025-11-03 00:00:00,0.0,0.0,USD
1ae7ZbbG0bOZdCF7,2025-11-03 00:00:00,,,
G5dVZbSC2hUHR,2025-11-03 00:00:00,,,
rZ7HnEZ1AKrkA0,2025-11-03 00:00:00,22.85,26.85,USD
rZ7HnEZ1Af_d8N,2025-11-03 00:00:00,,,
rZ7HnEZ1Afp4Zd,2025-11-03 00:00:00,0.0,0.0,USD
1A_ZkGJGkdd-Nt0,2025-11-03 00:00:00,,,
1Ae8Zb9GkcML8xf,2025-11-03 00:00:00,,,
1Av8ZbsGknsswow,2025-11-03 00:00:00,,,
rZ7HnEZ1AKrkAV,2025-11-03 00:00:00,22.85,26.85,USD
rZ7HnEZ1AfbPaK,2025-11-03 00:00:00,0.0,0.0,USD
rZ7HnEZ1AffSjd,2025-11-03 00:00:00,65.1,65.1,USD
G5ezZbYDSv0Lc,2025-11-03 00:00:00,,,
Z698xZbpZ16v_dkZ7N,2025-11-03 00:00:00,,,
rZ7HnEZ1AKrkk7,2025-11-03 00:00:00,22.85,26.85,USD
