event_id,name,url,type,locale,datetime,status,onsale_date,offsale_date,segment,genre,subgenre,family,artist_id,venue_id
rZ7HnEZ1AfAbON,Ticket for you  + 1 for ALL 2025 shows!,https://www.ticketweb.com/event/ticket-for-you-blue-moon-saloon-tickets/14158823,event,en-us,2025-01-09 08:00:00,offsale,2025-01-09 13:35:00,2025-02-01 05:55:00,Music,World,World,,,rZ7HnEZ178s4g
G5dVZbbwUsOXz,Abono Temporada NY Jazz All Stars 2025,https://www.ticketmaster.com.mx/abono-temporada-ny-jazz-all-stars-mexico-06-09-2025/event/3D00618CB6C60FB8,event,en-us,2025-09-06 20:30:00,onsale,2025-02-17 19:00:00,2025-11-23 02:30:00,Music,Jazz,Jazz,,,KovZpZA6teaA
ZFwVzcymWZ17keas,SYLVIE (USA) IN RESIDENCE AT THE ELTHAM,https://www.moshtix.com.au/v2/event/sylvie-usa-in-residence-at-the-eltham/182271,event,en-us,2025-10-25 19:00:00,onsale,2025-06-18 20:30:00,2025-11-08 05:00:00,Music,Rock,Indie Rock,,K8vZ917hjk7,KovZ917Am63
rZ7HnEZ1Af_6QK,"MOBWEEN 3 NIGHT PASS - Acid Mothers Temple (10/30), Proving Ground(10/31), The Iceman Special (11/1)",https://www.ticketweb.com/event/mobween-3-night-pass-the-merry-widow-tickets/14647693,event,en-us,2025-10-30 20:00:00,offsale,2025-10-27 22:00:00,2025-10-31 01:00:00,Music,Alternative,Alternative Rock,,K8vZ91713Gf,rZ7HnEZ1734-A
rZ7HnEZ1AfbKPK,"Vinyl Weekend Pass (4 Rooms, 8+ Artists)",https://www.ticketweb.com/event/vinyl-weekend-pass-4-rooms-club-vinyl-tickets/14613953,event,en-us,2025-10-31 22:00:00,offsale,2025-10-10 16:00:00,2025-11-02 07:00:00,Music,Other,,,,rZ7HnEZ17qf40
G5vVZbckHyK5e,Sinatra Meets The Sopranos,https://www.ticketmaster.com/sinatra-meets-the-sopranos-stamford-connecticut-11-01-2025/event/1D0062D1BCE532C2,event,en-us,2025-11-01 20:00:00,cancelled,2025-06-30 14:00:00,2025-11-18 00:30:00,Music,Rock,Oldies & Classics,,K8vZ9179Xc7,KovZpZA1ltEA
rZ7HnEZ1AK87bK,Lil Ed & Blues Imperials/Joanna Connor Band,https://www.ticketweb.com/event/lil-ed-blues-imperialsjoanna-kingston-mines-chicago-tickets/13404613,event,en-us,2025-11-01 19:00:00,offsale,2024-01-06 00:15:00,2025-11-01 23:30:00,Music,Blues,Blues,,,rZ7HnEZa7JQ
rZ7HnEZ1Af_k8K,Philly Phuckin Cheesesteak Pop Up at Atomic,https://www.ticketweb.com/event/philly-phuckin-cheesesteak-pop-up-atomic-garage-tickets/14646413,event,en-us,2025-11-01 19:00:00,offsale,2025-10-27 14:45:00,2025-11-02 00:00:00,Music,Other,,,,rZ7HnEZ17_O4S
rZ7HnEZ1AKQkuV,Sabados Sabrosos!,https://www.ticketweb.com/event/sabados-sabrosos-la-rumba-tickets/13686374,event,en-us,2025-11-01 19:00:00,offsale,2025-02-04 17:45:00,2025-11-02 01:00:00,Music,World,Latin,,,rZ7HnEZ173pGP
rZ7HnEZ1AK0UZ0,"DEJA VU A Hip Hop & RNB Halloween - Presented by Nightshift Ent., Nu Bounce & EEC.",https://www.ticketweb.ca/event/deja-vu-a-hip-hop-pyramid-cabaret-tickets/13936024,event,en-us,2025-11-01 21:00:00,offsale,2025-08-13 16:00:00,2025-11-02 02:00:00,Music,Hip-Hop/Rap,Hip-Hop/Rap,,,rZ7HnEZadgx
